Classification,Case Number,Date,Time,Occurred Earliest,Time_Cleaned,Occurred Latest,General Location,Disposition
Theft,23-1326-OF,07/17/2023,18:43,07/17/2023 14:45,07/17/2023 14:45,07/17/2023 17:30,Springdale Golf Club Parking Lot,Open Investigation
Theft,23-1328-OF,07/19/2023,9:28,07/17/2023 13:00,07/17/2023 13:00,07/17/2023 13:45,Yeh College,Open Investigation
Fraud,23-1352-OF,07/27/2023,15:41,07/24/2023 12:11,07/24/2023 12:11,07/27/2023 15:00,30 Elm Drive,Open Investigation
Theft,23-1365-OF,8/1/23,10:50,07/27/2023 17:30,07/27/2023 17:30,07/29/2023 08:40,New South,Open Investigation
Theft,23-1424-OF,08/18/2023,22:39,08/17/2023 12:00,08/17/2023 12:00,08/18/2023 22:39,Lawrence Apartments,Open Investigation
Theft,23-1431-OF,08/21/2023,17:44,08/21/2023 17:32,08/21/2023 17:32,08/21/2023 17:32,Dinky Bar & Kitchen,Open Investigation
Theft,23-1461-OF,08/27/2023,13:23,08/26/2023 22:30,08/26/2023 22:30,08/27/2023 13:00,Neuro Psychology Building,Open Investigation
Theft,23-1465-OF,08/28/2023,11:04,12/20/2023 13:54,12/20/2023 13:54,6/2/23 23:00,Dod Hall,Open Investigation
Theft,23-1469-OF,08/28/2023,22:05,08/22/2023 12:06,08/22/2023 12:06,08/28/2023 22:05,New Grad College,Open Investigation
Fraud,23-1472-OF,08/29/2023,11:23,08/15/2023 08:00,08/15/2023 08:00,08/28/2023 15:21,Princeton Childcare Center,Open Investigation
Theft,23-1481-OF,08/30/2023,7:26,08/29/2023 11:00,08/29/2023 11:00,08/29/2023 14:00,Wawa,Open Investigation
Theft,23-1495-OF,9/1/23,12:39,08/30/2023 17:15,08/30/2023 17:15,08/30/2023 17:15,Dillon Gym,Open Investigation
Theft,23-1514-OF,9/3/23,12:48,08/31/2023 20:00,08/31/2023 20:00,9/3/23 12:00,Lakeside Apartments,Open Investigation
Theft,23-1516-OF,9/3/23,15:58,9/3/23 0:00,3/9/2023 0:00,9/3/23 15:58,Whitman College,Open Investigation
Theft,23-1526-OF,9/4/23,10:23,8/1/23 9:00,1/8/2023 9:00,9/4/23 10:00,East Pyne Hall,Open Investigation
Theft,23-1527-OF,9/4/23,11:39,08/25/2023 09:00,08/25/2023 09:00,08/25/2023 16:00,Engineering Quadrangle,Open Investigation
Fraud,23-1549-OF,9/6/23,19:51,9/5/23 16:26,5/9/2023 16:26,9/6/23 19:51,300 Bunn Drive,Open Investigation
Theft,23-1550-OF,9/6/23,22:21,9/6/23 21:15,6/9/2023 21:15,9/6/23 22:00,Whitman College,Open Investigation
Theft,23-1560-OF,9/7/23,22:49,9/6/23 20:30,6/9/2023 20:30,9/6/23 21:00,Old Graduate College,Open Investigation
Theft,23-1571-OF,9/9/23,11:49,8/10/23 12:00,10/8/2023 12:00,9/9/23 10:00,Lawrence Apartments,Open Investigation
Theft,23-1616-OF,09/13/2023,15:29,08/23/2023 10:15,08/23/2023 10:15,9/12/23 12:00,Forbes College,Open Investigation
